,track,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,target,decade
3057,In The Misty Moonlight,Jerry Wallace,0.575,0.151,10,-23.438,1,0.0331,0.951,0.0679,0.226,0.559,113.328,180547,4,47.18329,8,1,60
3058,"Baby, I'm Yours",Barbara Lewis,0.464,0.398,6,-14.282,1,0.03,0.401,0.0,0.064,0.817,98.256,152733,4,25.69988,10,1,60
3060,Since I Don't Have You,Chuck Jackson,0.323,0.4,5,-12.727,1,0.0408,0.527,2.42e-05,0.0959,0.462,124.506,159107,4,45.22849,7,1,60
3063,Nag,The Halos,0.647,0.938,10,-7.789,1,0.0595,0.346,0.0,0.0772,0.924,143.493,169291,4,22.01601,9,1,60
3064,Memories,Elvis Presley,0.298,0.37,8,-15.339,1,0.0435,0.567,0.000191,0.937,0.238,88.786,199373,4,23.07618,10,1,60
3065,The Fool On The Hill,Sergio Mendes & Brasil '66,0.656,0.272,9,-20.372,1,0.0348,0.839,0.00112,0.0654,0.775,123.806,191533,3,46.96776,11,1,60
3067,People,Barbra Streisand,0.481,0.436,7,-8.299,1,0.0281,0.768,3.26e-05,0.0975,0.27,95.105,254853,4,32.52802,12,1,60
3068,Joy,Mitch Ryder,0.665,0.823,0,-6.123,1,0.055,0.231,5.5e-06,0.0869,0.719,115.104,193733,4,47.78032,8,1,60
3073,Never Going Back,The Lovin' Spoonful,0.5,0.585,7,-9.213,1,0.037,0.468,0.000166,0.142,0.709,135.051,171680,4,36.4439,10,1,60
3075,Let's Make Love Tonight,Bobby Rydell,0.624,0.604,6,-5.576,1,0.0287,0.604,3.36e-06,0.277,0.765,121.257,145213,4,31.3202,8,1,60
3079,Alice In Wonderland,Neil Sedaka,0.529,0.673,6,-6.569,1,0.0389,0.597,0.0,0.14,0.833,119.798,151333,4,50.64912,7,1,60
3080,Run To Him,Bobby Vee,0.323,0.459,7,-11.686,1,0.0312,0.592,0.0,0.0931,0.58,99.309,130133,4,34.858,8,1,60
3087,Hollywood,Connie Francis,0.637,0.577,5,-13.106,1,0.0303,0.554,5.02e-06,0.184,0.96,132.517,134640,4,23.12207,9,1,60
3090,Too Weak To Fight,Clarence Carter,0.666,0.386,1,-14.184,1,0.0272,0.438,2.34e-06,0.0519,0.939,102.423,138560,4,42.89114,8,1,60
3093,Don't Say Goodnight And Mean Goodbye,The Shirelles,0.498,0.36,4,-16.664,1,0.0695,0.961,0.706,0.275,0.86,202.44,155493,4,30.27633,9,1,60
3096,Reverend Mr. Black,The Kingston Trio,0.645,0.21,7,-18.337,1,0.0446,0.892,0.0,0.07,0.508,92.829,196040,4,41.20185,9,1,60
3099,Raindrops Keep Fallin' On My Head,B.J. Thomas,0.519,0.446,5,-9.287,1,0.0388,0.813,0.000124,0.11,0.654,104.962,184493,4,33.14169,8,1,60
3101,I Could Have Danced All Night,Ben E. King,0.652,0.671,0,-14.475,1,0.0569,0.61,0.0,0.212,0.889,89.509,154973,4,56.65282,5,1,60
3105,A Sign Of The Times,Petula Clark,0.532,0.708,10,-9.162,1,0.0339,0.551,0.0,0.318,0.887,138.49,177067,4,42.31635,12,1,60
3106,I Loved And I Lost,The Impressions,0.529,0.458,3,-10.108,0,0.0299,0.507,1.98e-06,0.237,0.718,69.334,193667,4,187.49563,3,1,60
3107,You're A Wonderful One,Marvin Gaye,0.646,0.462,10,-9.887,1,0.0317,0.809,0.0,0.108,0.831,84.471,164960,4,58.02805,6,1,60
3110,Vacation,Connie Francis,0.606,0.712,9,-7.298,0,0.0413,0.744,2.6e-06,0.903,0.923,143.523,142373,4,60.88335,6,1,60
3114,(Sweet Sweet Baby) Since You've Been Gone,Aretha Franklin,0.708,0.67,3,-8.142,1,0.029,0.471,0.0314,0.0631,0.94,117.149,145507,4,30.02317,9,1,60
3115,The Bells,James Brown,0.482,0.169,4,-12.862,1,0.093,0.694,1.3e-06,0.22,0.163,67.397,216933,4,25.2848,13,1,60
3118,Needles And Pins,The Searchers,0.565,0.953,9,-6.504,1,0.0393,0.0546,2.95e-05,0.0637,0.887,124.287,131360,4,22.00856,6,1,60
3119,"Abraham, Martin And John",Smokey Robinson & The Miracles,0.429,0.424,1,-12.51,1,0.032,0.269,0.0,0.458,0.494,88.199,180067,4,155.2747,3,1,60
3124,Let Me Call You Sweetheart,Timi Yuro,0.629,0.293,4,-9.735,1,0.0414,0.655,0.0,0.394,0.614,108.291,161693,4,42.91259,8,1,60
3125,442 Glenwood Avenue,The Pixies Three,0.674,0.584,0,-12.91,1,0.0367,0.723,0.0,0.0719,0.961,131.237,134640,4,18.48321,8,1,60
3131,"Hey, Western Union Man",Jerry Butler,0.546,0.709,6,-8.435,1,0.0435,0.476,0.0,0.078,0.729,91.231,161867,4,40.72294,7,1,60
3135,Sweet Memories,Andy Williams,0.156,0.282,10,-13.889,1,0.0309,0.931,0.0807,0.128,0.386,171.606,183613,4,26.6869,11,1,60
3136,Philly Dog,The Mar-Keys,0.58,0.798,3,-5.673,1,0.0389,0.0732,0.8,0.912,0.849,146.55,189360,4,20.30162,10,1,60
3138,(He's My) Dreamboat,Connie Francis,0.373,0.364,0,-6.563,1,0.0305,0.78,2.24e-06,0.342,0.451,70.31,162107,4,19.23684,8,1,60
3147,Distant Shores,Chad & Jeremy,0.572,0.452,9,-11.564,1,0.0276,0.463,0.263,0.155,0.599,109.127,166960,4,24.55402,9,1,60
3148,Daddy Sang Bass,Johnny Cash,0.681,0.638,4,-7.818,1,0.0367,0.699,0.000629,0.0581,0.677,96.882,140440,4,27.08829,7,1,60
3153,And When I Die,"Blood, Sweat & Tears",0.628,0.439,9,-10.728,1,0.134,0.332,1.35e-05,0.0555,0.507,127.589,244973,4,64.70919,10,1,60
3155,Balboa Blue,The Marketts,0.691,0.273,8,-14.87,1,0.0377,0.939,0.937,0.0955,0.806,138.332,157400,4,31.37953,10,1,60
3157,This Time Of The Year,Brook Benton,0.3,0.223,7,-11.654,1,0.0296,0.893,1.92e-05,0.092,0.124,67.323,145933,4,61.50703,6,1,60
3158,My Special Angel,The Vogues,0.326,0.543,0,-10.335,1,0.0379,0.537,0.0,0.184,0.39,104.59,180419,3,33.04149,11,1,60
3159,San Francisco (Be Sure To Wear Flowers In Your Hair),Scott McKenzie,0.495,0.67,7,-5.918,1,0.0284,0.047,2.52e-05,0.219,0.478,112.443,178933,4,34.87957,8,1,60
3160,Don't Say Nothin' Bad (About My Baby),The Cookies,0.611,0.591,2,-7.138,1,0.0352,0.717,0.00888,0.478,0.91,124.115,165840,4,31.19564,9,1,60
3165,Safe In My Garden,The Mamas & The Papas,0.428,0.338,0,-12.536,1,0.0307,0.663,0.0,0.208,0.161,86.99,192427,4,32.42872,9,1,60
3167,Losing You,Brenda Lee,0.384,0.303,4,-9.288,1,0.027,0.516,0.0,0.185,0.269,110.75,154173,3,53.14349,9,1,60
3169,The Jerk,The Larks,0.766,0.478,5,-10.904,1,0.0312,0.781,4.26e-05,0.112,0.893,129.98,152693,4,38.13356,6,1,60
3170,Tell Him I'm Not Home,Chuck Jackson,0.685,0.326,1,-12.721,0,0.0365,0.606,0.0,0.0942,0.803,101.863,157227,4,30.13206,9,1,60
3171,The Wayward Wind,Gogi Grant,0.528,0.263,11,-15.26,1,0.0357,0.656,2.59e-06,0.192,0.569,138.437,157280,3,26.97997,8,1,60
3173,Somebody Help Me,The Spencer Davis Group,0.652,0.67,5,-7.443,1,0.0466,0.118,0.0,0.356,0.775,136.373,121667,4,27.36369,6,1,60
3174,Bad Girl,Neil Sedaka,0.625,0.502,7,-9.229,1,0.0273,0.246,0.0,0.614,0.965,102.389,158493,4,35.32564,9,1,60
3175,Lonely Blue Boy,Conway Twitty,0.659,0.342,5,-13.709,1,0.0353,0.777,1.26e-05,0.248,0.677,112.878,135067,3,56.49031,6,1,60
3176,Big Big World,Johnny Burnette,0.617,0.322,4,-10.969,1,0.0314,0.521,0.0,0.222,0.606,112.241,143067,4,26.31829,7,1,60
3180,Shame On Me,Bobby Bare,0.639,0.315,7,-12.518,1,0.0258,0.882,0.000839,0.139,0.711,103.976,164800,4,27.9189,10,1,60
3181,Revenge,Brook Benton,0.427,0.501,0,-16.57,1,0.0513,0.362,0.0,0.555,0.851,127.663,155267,4,52.82529,8,1,60
3185,It's Gonna Be Fine,Glenn Yarbrough,0.442,0.563,9,-10.888,1,0.0332,0.481,0.0,0.114,0.666,140.334,131760,4,23.2394,9,1,60
3191,Many Tears Ago,Connie Francis,0.684,0.491,3,-3.466,1,0.0294,0.792,0.0,0.261,0.86,127.125,114440,4,31.95854,7,1,60
3192,South Street,The Orlons,0.571,0.725,5,-5.303,1,0.213,0.136,0.0,0.177,0.817,186.902,132453,4,34.64658,7,1,60
3195,Don't Let Him Take Your Love From Me,Four Tops,0.773,0.699,0,-8.784,1,0.122,0.257,0.0,0.105,0.703,105.788,173573,4,21.00459,8,1,60
3197,(You Make Me Feel Like) A Natural Woman,Aretha Franklin,0.65,0.323,0,-8.698,1,0.0283,0.213,0.0,0.187,0.276,110.962,166973,3,29.72404,9,1,60
3198,I Can't Stay Away From You,The Impressions,0.64,0.249,1,-11.537,1,0.0294,0.544,0.0,0.141,0.532,80.72,166467,3,73.65666,7,1,60
3203,True Love Ways,Peter And Gordon,0.357,0.476,9,-9.592,1,0.036,0.374,4.65e-06,0.333,0.468,113.403,159107,4,30.3238,8,1,60
3204,Let's Spend The Night Together,The Rolling Stones,0.566,0.795,7,-7.755,1,0.0498,0.689,0.0,0.249,0.572,140.859,215760,4,31.56087,9,1,60
3207,Good Clean Fun,The Monkees,0.582,0.836,11,-9.3,0,0.0559,0.129,1.81e-06,0.248,0.915,110.563,135800,4,30.02287,7,1,60
3208,I'm The One Who Loves You,The Impressions,0.659,0.433,7,-13.153,1,0.0476,0.816,0.0,0.241,0.931,122.734,149933,4,31.10446,8,1,60
3212,Livin' Above Your Head,Jay & The Americans,0.602,0.566,0,-10.499,1,0.0349,0.683,0.0,0.557,0.87,125.157,174640,4,25.65717,9,1,60
3215,Funky Broadway,Wilson Pickett,0.705,0.349,9,-16.017,1,0.0411,0.0702,0.00181,0.0786,0.95,121.064,156893,4,35.80259,8,1,60
3216,Walkin' With My Angel,Bobby Vee,0.692,0.49,5,-12.768,1,0.0525,0.718,0.0,0.0516,0.965,121.305,138640,4,52.51611,7,1,60
3217,This Guy's In Love With You,Herb Alpert,0.632,0.158,1,-13.072,1,0.0467,0.899,0.0116,0.0798,0.193,83.918,242067,4,35.56002,12,1,60
3218,Judy's Turn To Cry,Lesley Gore,0.742,0.573,11,-12.477,0,0.0591,0.592,0.0,0.0711,0.968,129.082,131000,4,52.00695,7,1,60
3219,Sway,Bobby Rydell,0.659,0.814,4,-5.364,0,0.036,0.603,0.0,0.559,0.937,122.962,140333,4,60.41684,5,1,60
3222,It's Not Unusual,Tom Jones,0.476,0.722,0,-10.017,1,0.0646,0.598,0.0,0.184,0.909,92.966,119800,4,70.91947,5,1,60
3225,Lonely Is The Name,Sammy Davis Jr.,0.265,0.435,1,-13.016,1,0.0454,0.861,2.55e-06,0.156,0.238,108.989,195173,3,33.53257,9,1,60
3227,I'm A Better Man,Engelbert Humperdinck,0.376,0.483,5,-11.198,1,0.0314,0.871,0.0036,0.163,0.538,88.707,169773,4,20.8858,9,1,60
3228,He,The Righteous Brothers,0.261,0.354,0,-10.742,1,0.0294,0.834,0.0,0.119,0.144,110.561,181227,3,35.95687,9,1,60
3230,Take Five,The Dave Brubeck Quartet,0.454,0.26,8,-13.193,0,0.0401,0.539,0.00078,0.0675,0.598,174.322,324133,5,36.43527,18,1,60
3233,The Last Leaf,The Cascades,0.57,0.408,4,-10.333,1,0.0287,0.743,0.0,0.2,0.38,125.057,141320,4,19.48191,8,1,60
3235,Handy Man,Del Shannon,0.443,0.936,9,-3.171,1,0.0474,0.0359,0.000117,0.075,0.942,146.886,134560,4,47.84215,6,1,60
3236,Daylight Savin' Time,Keith,0.535,0.546,10,-8.906,1,0.035,0.409,0.0,0.133,0.442,69.672,173360,3,49.75325,8,1,60
3238,Wonderland By Night,Anita Bryant,0.322,0.254,8,-10.135,1,0.0314,0.84,6.32e-06,0.31,0.321,106.443,195933,3,43.8431,11,1,60
3240,Misty Blue,Eddy Arnold,0.309,0.226,8,-12.751,1,0.0306,0.923,7.3e-05,0.217,0.344,112.208,126493,3,66.3853,6,1,60
3241,Master Jack,Four Jacks And A Jill,0.615,0.445,11,-8.611,1,0.0309,0.402,8.23e-06,0.155,0.589,121.079,171800,4,47.46591,7,1,60
3242,Have I The Right?,The Honeycombs,0.368,0.891,1,-8.067,0,0.26,0.024,0.000611,0.194,0.527,142.216,178040,4,35.29232,9,1,60
3243,See See Rider,LaVern Baker,0.67,0.493,6,-11.304,1,0.0751,0.285,0.0,0.0495,0.928,93.867,150427,4,29.72318,11,1,60
3247,Midnight Confessions,The Grass Roots,0.696,0.615,6,-11.356,1,0.0393,0.00514,3.7e-05,0.0766,0.839,134.481,167000,4,43.1737,5,1,60
3253,Release Me (And Let Me Love Again),Engelbert Humperdinck,0.356,0.513,3,-7.658,1,0.0298,0.0737,0.0,0.672,0.572,108.054,167067,4,34.9758,8,1,60
3254,Remember Me,Rita Pavone,0.761,0.712,0,-6.364,1,0.0245,0.261,1.33e-06,0.0905,0.826,101.037,276280,4,39.35527,14,1,60
3256,Everybody Loves A Nut,Johnny Cash,0.674,0.6,7,-10.139,1,0.0349,0.62,0.0134,0.126,0.872,91.238,123693,4,40.0952,7,1,60
3257,Casino Royale,Herb Alpert & The Tijuana Brass,0.713,0.463,2,-12.671,1,0.0394,0.649,0.689,0.0963,0.884,136.601,155987,4,37.51465,9,1,60
3260,The Unicorn,The Irish Rovers,0.705,0.311,5,-12.344,1,0.0488,0.738,0.0,0.322,0.785,117.26,202693,4,38.03945,7,1,60
3261,Ally Ally Oxen Free,The Kingston Trio,0.627,0.102,2,-21.544,1,0.0404,0.788,0.00013,0.188,0.69,131.808,126267,4,46.50172,7,1,60
3262,Love Me All The Way,Kim Weston,0.264,0.652,2,-7.863,1,0.033,0.263,0.000108,0.284,0.77,186.007,172093,3,53.7134,7,1,60
3263,Party Girl,Bernadette Carroll,0.502,0.756,9,-9.727,1,0.0531,0.829,0.188,0.0846,0.769,123.343,139440,4,39.32597,7,1,60
3264,My Little Red Book,Love,0.823,0.569,0,-8.166,1,0.0372,0.086,3.73e-06,0.0677,0.777,100.575,150133,4,31.14132,8,1,60
3266,Yester Love,Smokey Robinson & The Miracles,0.611,0.478,2,-13.599,1,0.0278,0.215,0.0,0.146,0.835,104.453,138560,4,32.72065,7,1,60
3271,Summer Means Fun,Bruce & Terry,0.476,0.633,5,-9.105,1,0.0306,0.417,0.0,0.152,0.964,77.69,139867,4,73.9801,5,1,60
3274,The Windows Of The World,Dionne Warwick,0.617,0.107,5,-21.131,1,0.041,0.95,7.81e-05,0.0917,0.384,93.464,202373,4,28.68543,8,1,60
3275,Always It's You,The Everly Brothers,0.519,0.18,5,-16.538,1,0.0285,0.867,4.05e-06,0.105,0.373,81.31,150427,4,31.34052,6,1,60
3277,On The Rebound,Floyd Cramer,0.535,0.683,9,-11.677,1,0.0334,0.371,0.0133,0.205,0.912,150.742,126107,4,31.98191,8,1,60
3279,I'll Say Forever My Love,Jimmy Ruffin,0.554,0.621,0,-6.879,1,0.0253,0.00672,0.0,0.387,0.664,103.927,181040,4,38.84569,9,1,60
3282,One Step At A Time,Maxine Brown,0.678,0.691,7,-5.589,0,0.0397,0.381,0.0,0.353,0.688,108.034,123907,4,45.55428,7,1,60
3286,Always In My Heart,Los Indios Tabajaras,0.654,0.0852,9,-20.452,1,0.0456,0.89,0.892,0.247,0.386,80.085,149960,4,30.24116,6,1,60
3287,Ain't Gonna Lie,Keith,0.542,0.335,7,-10.291,1,0.0383,0.38,0.0,0.0828,0.504,74.524,187400,4,54.06921,10,1,60
3288,Love With The Proper Stranger,Jack Jones,0.18,0.173,1,-12.852,1,0.0338,0.847,1.82e-05,0.337,0.193,86.184,146000,3,30.31725,9,1,60
3289,Silhouettes,Herman's Hermits,0.542,0.612,7,-8.598,1,0.0312,0.676,0.0,0.308,0.862,112.685,119107,4,53.15519,4,1,60
3293,Can't Seem To Make You Mine,The Seeds,0.699,0.384,7,-13.691,1,0.044,0.148,0.0,0.121,0.584,109.573,185481,4,46.99669,11,1,60
3295,Proud Mary,Creedence Clearwater Revival,0.72,0.391,2,-16.595,1,0.0342,0.163,8.29e-05,0.046,0.786,120.794,187227,4,33.14534,11,1,60
3296,Over And Over,The Dave Clark Five,0.542,0.862,5,-8.361,1,0.0667,0.245,1.69e-06,0.13,0.9,149.545,119800,4,33.65813,7,1,60
3297,Johnny Loves Me,Shelley Fabares,0.411,0.229,7,-15.114,1,0.0315,0.752,0.0,0.176,0.417,100.848,142227,4,38.8862,10,1,60
3298,Daddy's Home,Shep And The Limelites,0.493,0.123,5,-13.875,1,0.0366,0.939,8.58e-06,0.146,0.273,144.64,174200,3,25.53898,9,1,60
3299,A House Is Not A Home,Dionne Warwick,0.273,0.225,5,-13.69,1,0.033,0.902,3.04e-05,0.154,0.246,72.588,188493,4,30.5127,10,1,60
3300,I Feel Fine,The Beatles,0.564,0.827,7,-7.089,1,0.0283,0.0904,3.73e-06,0.127,0.912,89.847,139347,4,77.06121,4,1,60
3303,Woman Is A Man's Best Friend,Teddy & The Twilights,0.87,0.528,4,-13.395,1,0.0738,0.837,3.1e-06,0.367,0.885,118.236,138560,4,27.5458,9,1,60
3305,Jumpin' Jack Flash,The Rolling Stones,0.596,0.901,3,-7.373,1,0.0482,0.0362,0.749,0.0698,0.621,137.359,219467,4,35.99087,11,1,60
3308,I Can't Quit Her,The Arbors,0.268,0.57,7,-4.055,1,0.0308,0.408,5.08e-05,0.555,0.494,86.082,197293,4,51.08407,7,1,60
3312,Pay You Back With Interest,The Hollies,0.328,0.512,0,-8.637,1,0.0346,0.592,0.0,0.068,0.545,121.785,159667,4,50.58164,8,1,60
3315,If I Should Lose You,Dreamlovers,0.564,0.282,9,-9.438,1,0.0251,0.807,0.0,0.0957,0.426,91.184,149267,3,36.12939,5,1,60
3316,Lovers Who Wander,Dion,0.51,0.382,0,-13.637,1,0.0613,0.54,0.0,0.122,0.821,111.63,151467,1,29.9578,8,1,60
3322,"Rockin', Rollin' Ocean",Hank Snow,0.585,0.537,1,-8.744,1,0.0315,0.763,0.0,0.163,0.643,102.605,152827,4,46.19812,6,1,60
3323,Shut Down,The Beach Boys,0.592,0.743,8,-8.18,1,0.0479,0.0651,0.000882,0.0531,0.977,159.884,111053,4,44.25878,7,1,60
3325,Teenage Heaven,Johnny Cymbal,0.667,0.325,0,-15.478,1,0.0472,0.368,0.0106,0.319,0.427,102.437,213133,4,19.99885,11,1,60
3326,Mountain Of Love,Johnny Rivers,0.698,0.401,4,-15.521,1,0.0384,0.179,4.78e-06,0.0848,0.967,130.634,165427,4,30.63022,11,1,60
3327,It Keeps Rainin',Fats Domino,0.783,0.579,5,-10.81,1,0.0363,0.693,0.00218,0.0845,0.972,118.507,168440,4,62.95331,7,1,60
3331,Sandy,Larry Hall,0.633,0.484,0,-8.507,1,0.0269,0.47,0.000141,0.1,0.814,80.543,145027,4,27.36518,9,1,60
3332,Memphis Underground,Herbie Mann,0.779,0.411,5,-17.37,1,0.0322,0.626,0.853,0.0848,0.941,113.08,429000,4,46.61271,18,1,60
3333,Jump Back,King Curtis,0.685,0.356,0,-15.899,1,0.0392,0.0653,0.75,0.0983,0.531,116.933,118133,4,28.8919,6,1,60
3335,The Proud One,Frankie Valli,0.606,0.654,7,-6.532,1,0.0395,0.712,0.000279,0.457,0.571,116.83,179787,4,56.81612,9,1,60
3337,The Dreamer,Neil Sedaka,0.594,0.771,11,-7.391,1,0.0448,0.255,0.0,0.409,0.884,128.405,190200,4,47.08966,10,1,60
3339,Just A Little Bit,Little Milton,0.667,0.596,2,-9.801,1,0.0296,0.206,0.0349,0.125,0.928,125.773,144667,4,24.0449,10,1,60
3340,The Girl From Peyton Place,Dickey Lee,0.384,0.43,4,-6.165,1,0.029,0.742,0.0,0.312,0.434,101.612,129828,4,67.97648,6,1,60
3341,You Got What It Takes,Joe Tex,0.702,0.359,8,-12.122,1,0.05,0.773,0.0,0.161,0.857,106.683,131646,4,21.44675,9,1,60
3343,Bumble Boogie,B. Bumble & The Stingers,0.538,0.871,9,-5.24,1,0.0461,0.411,0.878,0.072,0.767,169.851,133800,4,15.1242,8,1,60
3344,Dear Lover,Mary Wells,0.639,0.401,7,-12.098,1,0.1,0.625,0.0,0.131,0.737,123.237,134067,4,49.27856,8,1,60
3345,That's What Love Is Made Of,The Miracles,0.66,0.639,2,-7.649,1,0.0309,0.506,0.0,0.0605,0.903,120.321,169773,4,38.19076,9,1,60
3348,Moody River,Pat Boone,0.767,0.269,3,-14.983,1,0.0333,0.774,0.0,0.0875,0.534,129.921,157267,4,33.65623,10,1,60
3349,(What A Sad Way) To Love Someone,Ral Donner,0.61,0.232,3,-17.007,1,0.0287,0.86,7.21e-05,0.106,0.539,79.108,179958,4,33.06124,11,1,60
3350,Six O'Clock,The Lovin' Spoonful,0.592,0.483,7,-11.348,1,0.0475,0.351,0.0,0.201,0.719,126.499,161227,4,24.36558,8,1,60
3351,River Deep-Mountain High,Deep Purple,0.209,0.381,9,-14.704,1,0.0424,0.321,0.00645,0.283,0.196,170.592,612800,4,23.28462,23,1,60
3358,Blue Water Line,The Brothers Four,0.438,0.382,9,-16.586,1,0.0963,0.757,1.48e-06,0.28,0.844,166.438,170400,4,28.64569,11,1,60
3359,Let There Be Drums,Sandy Nelson,0.594,0.819,1,-11.067,1,0.0378,0.0907,0.845,0.0613,0.661,101.29,138667,4,34.52485,10,1,60
3360,Johnny Freedom,Johnny Horton,0.669,0.527,7,-13.277,1,0.0376,0.742,0.0,0.609,0.799,98.467,167707,4,21.08804,8,1,60
3365,Te-Ta-Te-Ta-Ta,Ernie K-Doe,0.59,0.407,5,-12.007,1,0.0401,0.702,0.0,0.141,0.843,133.776,162107,4,49.60164,7,1,60
3366,He's A Good Guy (Yes He Is),The Marvelettes,0.334,0.88,0,-1.17,1,0.0516,0.286,0.0,0.205,0.83,174.151,153187,3,21.55026,9,1,60
3368,I've Been Everywhere,Hank Snow,0.449,0.537,6,-13.138,1,0.0392,0.551,0.000148,0.412,0.961,119.689,164640,4,28.76003,8,1,60
3369,(Do The New) Continental,The Dovells,0.682,0.784,8,-5.905,1,0.0471,0.177,0.0,0.196,0.942,120.397,157333,4,21.75529,8,1,60
3370,One Track Mind,Bobby Lewis,0.613,0.566,10,-8.698,1,0.0316,0.153,0.0,0.158,0.977,145.131,127760,3,52.07576,7,1,60
3382,White Houses,Eric Burdon & The Animals,0.534,0.36,2,-18.08,1,0.0394,0.894,0.101,0.0976,0.671,162.38,233333,4,25.20343,11,1,60
3383,My Boyfriend's Back,The Angels,0.683,0.885,3,-6.099,1,0.155,0.629,0.0,0.075,0.954,135.134,136800,4,50.19212,7,1,60
3384,More Today Than Yesterday,Spiral Starecase,0.681,0.527,7,-12.307,1,0.0356,0.327,0.0,0.0889,0.842,141.782,169467,4,37.18714,8,1,60
3386,Something's Got A Hold On Me,Etta James,0.497,0.432,1,-10.851,1,0.0928,0.714,0.0,0.609,0.654,73.251,167427,4,34.89463,6,1,60
3387,Alley-Oop,The Dyna-Sores,0.738,0.595,10,-5.969,1,0.139,0.79,0.0,0.553,0.795,135.686,150747,4,47.42679,6,1,60
3390,Spanish Harlem,King Curtis,0.57,0.384,10,-13.296,1,0.0428,0.565,0.0156,0.107,0.519,124.88,166426,4,27.08301,11,1,60
3394,Let's Live For Today,The Grass Roots,0.6,0.494,1,-8.266,0,0.0301,0.284,0.0,0.0618,0.477,116.466,169987,4,36.67797,7,1,60
3395,I Can't Grow Peaches On A Cherry Tree,Just Us,0.631,0.194,1,-16.8,1,0.0343,0.916,0.000185,0.105,0.497,121.942,154760,4,37.20658,9,1,60
3396,Before You Go,Buck Owens,0.531,0.561,8,-6.353,1,0.0348,0.501,7.1e-06,0.133,0.587,101.992,133773,4,32.9205,5,1,60
3398,Harbor Lights,The Platters,0.26,0.29,5,-13.38,1,0.0293,0.913,0.000649,0.153,0.303,78.797,194867,4,48.18139,10,1,60
3400,You Better Run,The Young Rascals,0.422,0.494,7,-7.786,0,0.0528,0.000942,7.01e-05,0.174,0.723,116.642,149702,4,23.77767,9,1,60
3406,Lonely Weekends,Charlie Rich,0.41,0.836,5,-8.876,1,0.0975,0.723,0.000227,0.128,0.599,183.15,130080,4,28.30476,8,1,60
3408,The Wah Watusi,The Orlons,0.768,0.684,4,-6.116,0,0.0398,0.138,0.000898,0.0642,0.887,134.116,150240,4,28.95761,6,1,60
3411,On This Side Of Goodbye,The Righteous Brothers,0.451,0.352,2,-10.866,1,0.0318,0.836,0.0,0.188,0.383,115.502,190600,4,37.66641,10,1,60
3413,Galveston,Glen Campbell,0.526,0.52,5,-8.918,1,0.0296,0.202,0.000329,0.156,0.675,118.404,161067,4,33.4513,8,1,60
3414,Break Away (From That Boy),The Newbeats,0.6,0.362,10,-14.238,1,0.0331,0.764,0.00201,0.108,0.62,122.754,150907,4,34.35353,10,1,60
3416,Two Tickets To Paradise,Brook Benton,0.743,0.291,5,-14.497,1,0.0578,0.673,0.000144,0.148,0.712,113.287,159307,4,43.89933,8,1,60
3417,The Crusher,The Novas,0.467,0.769,2,-12.719,1,0.0734,0.118,1.09e-05,0.212,0.802,129.124,118520,4,20.84563,8,1,60
3418,Great Balls Of Fire,Tiny Tim,0.345,0.919,0,-6.785,1,0.149,0.642,0.0112,0.5,0.868,160.203,118400,4,37.88444,6,1,60
3421,Along Came Jones,Ray Stevens,0.525,0.796,7,-8.397,1,0.266,0.483,0.0,0.96,0.568,102.132,227533,4,31.70214,11,1,60
3422,If I Knew,Nat King Cole,0.371,0.386,1,-9.238,1,0.0308,0.708,0.000467,0.0787,0.169,80.207,167693,4,57.12898,7,1,60
3423,Most People Get Married,Patti Page,0.575,0.433,1,-13.49,1,0.064,0.677,9.46e-06,0.118,0.71,159.777,120400,4,41.90374,6,1,60
3424,Another Cup Of Coffee,Brook Benton,0.57,0.511,5,-12.578,1,0.0404,0.773,0.0787,0.336,0.909,102.775,173360,4,32.2464,10,1,60
3426,Saturday Sunshine,Burt Bacharach,0.659,0.376,2,-12.295,1,0.029,0.46,0.000127,0.332,0.848,108.415,121667,4,30.56281,8,1,60
3427,Jump Back,Rufus Thomas,0.893,0.436,2,-9.124,1,0.0505,0.646,0.000314,0.178,0.963,116.389,141240,4,39.55521,6,1,60
3428,Chewy Chewy,Ohio Express,0.751,0.531,0,-7.109,1,0.0506,0.0667,9.78e-05,0.173,0.809,121.616,164227,4,21.35679,9,1,60
3430,Drag City,Jan & Dean,0.382,0.819,3,-11.108,1,0.0488,0.482,1.56e-05,0.0859,0.578,156.108,142560,4,29.38049,9,1,60
3436,Home Of The Brave,Jody Miller,0.45,0.416,0,-9.703,1,0.0258,0.603,0.0,0.102,0.581,109.162,169387,4,40.9075,10,1,60
3440,Paperback Writer,The Beatles,0.472,0.856,7,-6.03,1,0.0562,0.147,2.78e-06,0.595,0.841,78.696,138200,4,55.33623,5,1,60
3442,Born To Be With You,Sonny James,0.401,0.626,2,-11.299,1,0.033,0.255,0.0018,0.219,0.642,146.798,155787,4,27.82557,8,1,60
3443,"Beg, Borrow And Steal",Ohio Express,0.538,0.853,9,-8.719,1,0.138,0.343,6.62e-05,0.159,0.66,127.954,177440,4,21.49316,11,1,60
3444,Bumble Bee,The Searchers,0.673,0.753,4,-8.124,0,0.0524,0.779,1.84e-06,0.113,0.955,129.932,134187,4,52.34342,7,1,60
